,ID,Fullname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,2000121,NguyenNhan,B,C,A,D,E,B,A,D,C,E,B,B,B,C,D,C,C,B,D,E,B,A,C,D,D,A,B,C,D,B,C,B,D,E,E,C,A,A,A,D,A,B,C,B,A,B,B,D,E,E,B,B,B,D,E,E,E,E,E,E
1,2000122,TranQuynh,C,D,D,C,A,D,E,E,C,B,A,B,C,D,E,E,D,C,B,A,B,C,D,B,A,C,B,D,E,E,B,D,D,D,E,B,C,D,A,A,B,C,E,E,E,A,A,D,E,D,C,B,A,A,A,C,B,D,A,A
2,2000123,VinhHao,A,A,A,C,D,B,C,A,B,E,E,B,B,A,B,C,D,D,D,E,C,B,D,A,E,C,B,C,B,D,B,A,A,A,C,D,C,B,A,C,B,C,C,C,D,C,B,D,D,E,E,E,E,E,E,D,C,A,A,E
3,2000124,DiepTan,C,D,E,E,E,A,B,B,E,E,A,C,E,D,C,D,C,B,A,B,D,C,A,C,D,E,E,E,B,C,A,C,D,C,B,D,C,E,E,E,B,C,A,E,E,A,B,C,A,D,A,B,A,E,E,B,C,A,B,C
4,2000125,HoKhoa,E,A,B,C,D,C,D,D,A,E,C,B,D,E,E,E,A,C,C,D,B,C,A,A,A,D,B,D,B,E,A,C,A,D,E,B,C,A,E,E,B,C,A,B,C,A,C,B,C,E,B,A,C,A,C,D,C,D,E,E
5,2000126,HoTrung,B,D,E,C,E,C,B,B,C,D,D,C,B,B,C,D,E,E,D,C,B,A,B,C,D,E,D,D,D,E,D,B,C,C,C,B,C,B,B,A,B,C,D,D,C,B,A,A,B,C,D,E,D,C,B,A,B,B,B,A
6,2000127,PhamHuy,D,C,C,C,D,C,B,C,D,E,C,B,A,D,E,B,B,B,B,B,A,B,C,D,E,E,E,E,E,E,A,C,E,B,A,C,C,C,D,B,A,B,A,B,D,B,E,C,E,E,A,A,C,C,A,E,E,D,C,E
7,2000128,PhuocNguyen,C,D,B,A,C,D,E,E,D,C,D,B,D,B,E,B,C,D,A,B,A,A,B,B,C,D,E,A,A,B,A,A,E,C,D,C,B,C,B,A,A,B,C,E,E,C,C,A,B,A,A,B,E,D,B,D,E,D,C,B
8,2000129,NguyenNgoc,D,B,A,A,E,C,E,A,B,D,A,E,C,A,E,A,B,C,B,E,D,A,C,B,D,A,D,A,D,A,B,C,A,E,E,A,B,A,B,E,E,D,E,D,A,C,D,B,B,D,B,C,A,D,D,E,C,A,E,E
9,2000130,MinhNhan,B,C,D,B,C,C,B,B,B,C,D,E,E,E,D,B,C,D,A,E,E,D,B,C,A,E,D,C,D,E,D,C,B,C,B,C,D,D,D,C,B,A,A,A,B,B,C,C,B,A,A,B,C,D,A,C,D,E,D,C
KEY,,,A,A,C,D,E,B,D,B,B,E,C,B,D,A,E,A,C,C,B,E,B,D,D,A,E,D,A,B,D,E,E,C,C,D,E,A,C,D,B,E,B,A,B,C,E,A,B,A,A,E,B,C,D,A,E,D,C,B,A,E
CORRECT,,,0.1,0.2,0.1,0.1,0.4,0.2,0.1,0.3,0.3,0.5,0.2,0.6,0.2,0.2,0.5,0.1,0.4,0.3,0.3,0.4,0.4,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.4,0.5,0.0,0.5,0.1,0.2,0.4,0.1,0.6,0.2,0.3,0.3,0.6,0.1,0.0,0.1,0.3,0.3,0.3,0.2,0.1,0.4,0.3,0.1,0.1,0.2,0.3,0.3,0.4,0.1,0.2,0.5
